ccode,country,group,name,numcode,year,intercon,rebellion,rebellion_binary,groupcon,aggdifxx,polity2,gdppc,country_pop
2,USA,AFRICAN-AMERICANS,BLA,201,1960,1,0,0,0,6,10,-0.05595575364548317,0.8002787444968371
2,USA,AFRICAN-AMERICANS,BLA,201,1961,1,1,0,0,6,10,-0.04817077113911405,0.8196970475689023
2,USA,AFRICAN-AMERICANS,BLA,201,1962,1,1,0,0,6,10,-0.02495178224167535,0.8380029776504153
2,USA,AFRICAN-AMERICANS,BLA,201,1963,1,2,0,0,6,10,-0.007837215895746761,0.855389431791761
2,USA,AFRICAN-AMERICANS,BLA,201,1964,1,2,0,0,6,10,0.018282284076067398,0.8724093815373757
2,USA,AFRICAN-AMERICANS,BLA,201,1965,1,3,1,0,6,10,0.051495290932134806,0.8879311641916687
2,USA,AFRICAN-AMERICANS,BLA,201,1966,1,3,1,0,6,10,0.09324823548433395,0.9024434522822817
2,USA,AFRICAN-AMERICANS,BLA,201,1967,1,3,1,0,6,8,0.11814757787236124,0.9162806006965479
2,USA,AFRICAN-AMERICANS,BLA,201,1968,1,2,0,0,6,8,0.16523209090684263,0.9291018246454545
2,USA,AFRICAN-AMERICANS,BLA,201,1969,1,2,0,0,6,8,0.2092681393451593,0.9417751608557328
2,USA,AFRICAN-AMERICANS,BLA,201,1970,1,2,0,0,6,8,0.23574466096175392,0.9570461773445257
2,USA,AFRICAN-AMERICANS,BLA,201,1971,1,2,0,0,6,8,0.28487093512736616,0.9738217908263197
2,USA,AFRICAN-AMERICANS,BLA,201,1972,1,1,0,0,6,8,0.3483452724497317,0.9881926210799837
2,USA,AFRICAN-AMERICANS,BLA,201,1973,1,1,0,0,6,8,0.4311651089405269,1.0011360131608007
2,USA,AFRICAN-AMERICANS,BLA,201,1974,1,0,0,0,6,10,0.4965643638266979,1.0136421719274122
2,USA,AFRICAN-AMERICANS,BLA,201,1975,1,0,0,0,6,10,0.5719742943761338,1.027267133586255
2,USA,AFRICAN-AMERICANS,BLA,201,1976,1,0,0,0,6,10,0.6755476373806544,1.0405255908493671
2,USA,AFRICAN-AMERICANS,BLA,201,1977,1,0,0,0,6,10,0.7882270500818679,1.054697094150967
2,USA,AFRICAN-AMERICANS,BLA,201,1978,1,0,0,0,6,10,0.9339181368338936,1.0697816434910548
2,USA,AFRICAN-AMERICANS,BLA,201,1979,1,0,0,0,6,10,1.0791988034371571,1.0856635006393993
2,USA,AFRICAN-AMERICANS,BLA,201,1980,1,0,0,0,6,10,1.1971541140850028,1.0996163872838964
2,USA,AFRICAN-AMERICANS,BLA,201,1981,1,0,0,0,6,10,1.3806895073001322,1.1140257969476375
2,USA,AFRICAN-AMERICANS,BLA,201,1982,1,0,0,0,6,10,1.4406331409065285,1.1281587208391604
2,USA,AFRICAN-AMERICANS,BLA,201,1983,1,0,0,0,6,10,1.5860274796315978,1.1418415516131188
2,USA,AFRICAN-AMERICANS,BLA,201,1984,1,0,0,0,6,10,1.7926159597063065,1.1549135417275256
2,USA,AFRICAN-AMERICANS,BLA,201,1985,1,0,0,0,6,10,1.9387301610350316,1.1684099053527788
2,USA,AFRICAN-AMERICANS,BLA,201,1986,1,0,0,0,6,10,2.0480142834427446,1.1826135581627761
2,USA,AFRICAN-AMERICANS,BLA,201,1987,1,0,0,0,6,10,2.1747590487244164,1.1964764261837604
2,USA,AFRICAN-AMERICANS,BLA,201,1988,1,0,0,0,6,10,2.3552496495787136,1.210686508895437
2,USA,AFRICAN-AMERICANS,BLA,201,1989,1,0,0,0,6,10,2.543869987296189,1.225603880791858
2,USA,AFRICAN-AMERICANS,BLA,201,1990,1,0,0,0,6,10,2.678961905290512,1.2436333251011529
2,USA,AFRICAN-AMERICANS,BLA,201,1991,1,0,0,0,6,10,2.738379146310322,1.2652249349408862
2,USA,AFRICAN-AMERICANS,BLA,201,1992,1,0,0,0,6,10,2.8794023637247776,1.2879417775745305
2,USA,AFRICAN-AMERICANS,BLA,201,1993,1,0,0,0,6,10,3.0062242792910125,1.3098355927932
2,USA,AFRICAN-AMERICANS,BLA,201,1994,1,0,0,0,6,10,3.1774797963370025,1.33045628747933
2,USA,AFRICAN-AMERICANS,BLA,201,1995,1,0,0,0,6,10,3.30793220605719,1.350723337573088
2,USA,AFRICAN-AMERICANS,BLA,201,1996,1,0,0,0,6,10,3.4751638716116413,1.3707589112063845
2,USA,AFRICAN-AMERICANS,BLA,201,1997,1,0,0,0,6,10,3.6705010198044126,1.391739680386566
2,USA,AFRICAN-AMERICANS,BLA,201,1998,1,0,0,0,6,10,3.853148379183255,1.4122960760559011
2,USA,AFRICAN-AMERICANS,BLA,201,1999,1,0,0,0,6,10,4.0705490724948925,1.432781742806762
2,USA,AFRICAN-AMERICANS,BLA,201,2000,1,0,0,0,6,10,4.309097089238721,1.4528585385397255
2,USA,AFRICAN-AMERICANS,BLA,201,2001,1,0,0,0,NA,10,4.413657599346777,1.470904340518893
2,USA,AFRICAN-AMERICANS,BLA,201,2002,1,0,0,0,NA,10,4.530213211755893,1.4879836896962229
2,USA,AFRICAN-AMERICANS,BLA,201,2003,1,0,0,0,NA,10,4.7231795421417635,1.503947463791964
2,USA,HISPANICS,HIS,202,1960,1,0,0,2,10,10,-0.05595575364548317,0.8002787444968371
2,USA,HISPANICS,HIS,202,1961,1,0,0,2,10,10,-0.04817077113911405,0.8196970475689023
2,USA,HISPANICS,HIS,202,1962,1,0,0,2,10,10,-0.02495178224167535,0.8380029776504153
2,USA,HISPANICS,HIS,202,1963,1,0,0,2,10,10,-0.007837215895746761,0.855389431791761
2,USA,HISPANICS,HIS,202,1964,1,0,0,2,10,10,0.018282284076067398,0.8724093815373757
2,USA,HISPANICS,HIS,202,1965,1,0,0,2,10,10,0.051495290932134806,0.8879311641916687
2,USA,HISPANICS,HIS,202,1966,1,0,0,2,10,10,0.09324823548433395,0.9024434522822817
2,USA,HISPANICS,HIS,202,1967,1,0,0,2,10,8,0.11814757787236124,0.9162806006965479
2,USA,HISPANICS,HIS,202,1968,1,1,0,2,10,8,0.16523209090684263,0.9291018246454545
2,USA,HISPANICS,HIS,202,1969,1,1,0,2,10,8,0.2092681393451593,0.9417751608557328
2,USA,HISPANICS,HIS,202,1970,1,1,0,2,10,8,0.23574466096175392,0.9570461773445257
2,USA,HISPANICS,HIS,202,1971,1,1,0,2,10,8,0.28487093512736616,0.9738217908263197
2,USA,HISPANICS,HIS,202,1972,1,1,0,2,10,8,0.3483452724497317,0.9881926210799837
2,USA,HISPANICS,HIS,202,1973,1,2,0,2,10,8,0.4311651089405269,1.0011360131608007
2,USA,HISPANICS,HIS,202,1974,1,2,0,2,10,10,0.4965643638266979,1.0136421719274122
2,USA,HISPANICS,HIS,202,1975,1,2,0,2,10,10,0.5719742943761338,1.027267133586255
2,USA,HISPANICS,HIS,202,1976,1,2,0,2,10,10,0.6755476373806544,1.0405255908493671
2,USA,HISPANICS,HIS,202,1977,1,2,0,2,10,10,0.7882270500818679,1.054697094150967
2,USA,HISPANICS,HIS,202,1978,1,1,0,2,10,10,0.9339181368338936,1.0697816434910548
2,USA,HISPANICS,HIS,202,1979,1,1,0,2,10,10,1.0791988034371571,1.0856635006393993
2,USA,HISPANICS,HIS,202,1980,1,1,0,2,10,10,1.1971541140850028,1.0996163872838964
2,USA,HISPANICS,HIS,202,1981,1,1,0,2,10,10,1.3806895073001322,1.1140257969476375
2,USA,HISPANICS,HIS,202,1982,1,1,0,2,10,10,1.4406331409065285,1.1281587208391604
2,USA,HISPANICS,HIS,202,1983,1,2,0,2,10,10,1.5860274796315978,1.1418415516131188
2,USA,HISPANICS,HIS,202,1984,1,2,0,2,10,10,1.7926159597063065,1.1549135417275256
2,USA,HISPANICS,HIS,202,1985,1,1,0,2,10,10,1.9387301610350316,1.1684099053527788
2,USA,HISPANICS,HIS,202,1986,1,2,0,2,10,10,2.0480142834427446,1.1826135581627761
2,USA,HISPANICS,HIS,202,1987,1,2,0,2,10,10,2.1747590487244164,1.1964764261837604
2,USA,HISPANICS,HIS,202,1988,1,1,0,2,10,10,2.3552496495787136,1.210686508895437
2,USA,HISPANICS,HIS,202,1989,1,1,0,2,10,10,2.543869987296189,1.225603880791858
2,USA,HISPANICS,HIS,202,1990,1,1,0,2,10,10,2.678961905290512,1.2436333251011529
2,USA,HISPANICS,HIS,202,1991,1,1,0,2,10,10,2.738379146310322,1.2652249349408862
2,USA,HISPANICS,HIS,202,1992,1,1,0,2,10,10,2.8794023637247776,1.2879417775745305
2,USA,HISPANICS,HIS,202,1993,1,0,0,2,10,10,3.0062242792910125,1.3098355927932
2,USA,HISPANICS,HIS,202,1994,1,0,0,2,10,10,3.1774797963370025,1.33045628747933
2,USA,HISPANICS,HIS,202,1995,1,0,0,2,10,10,3.30793220605719,1.350723337573088
2,USA,HISPANICS,HIS,202,1996,1,0,0,2,10,10,3.4751638716116413,1.3707589112063845
2,USA,HISPANICS,HIS,202,1997,1,0,0,2,10,10,3.6705010198044126,1.391739680386566
2,USA,HISPANICS,HIS,202,1998,1,0,0,2,10,10,3.853148379183255,1.4122960760559011
2,USA,HISPANICS,HIS,202,1999,1,0,0,2,10,10,4.0705490724948925,1.432781742806762
2,USA,HISPANICS,HIS,202,2000,1,0,0,2,10,10,4.309097089238721,1.4528585385397255
2,USA,HISPANICS,HIS,202,2001,1,0,0,2,NA,10,4.413657599346777,1.470904340518893
2,USA,HISPANICS,HIS,202,2002,1,0,0,2,NA,10,4.530213211755893,1.4879836896962229
2,USA,HISPANICS,HIS,202,2003,1,0,0,2,NA,10,4.7231795421417635,1.503947463791964
2,USA,NATIVE AMERICANS,IND,203,1960,0,0,0,3,8,10,-0.05595575364548317,0.8002787444968371
