ccode,country,group,name,numcode,year,gc2,groupcon,aggdifxx,intercon,nocomcon,reb,rebel
2,USA,AFRICAN-AMERICANS,BLA,201,1940,1,0,6,1,1,-99,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1941,1,0,6,1,1,-99,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1942,1,0,6,1,1,-99,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1943,1,0,6,1,1,-99,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1944,1,0,6,1,1,-99,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1945,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1946,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1947,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1948,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1949,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1950,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1951,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1952,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1953,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1954,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1955,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1956,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1957,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1958,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1959,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1960,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1961,1,0,6,1,1,-99,1
2,USA,AFRICAN-AMERICANS,BLA,201,1962,1,0,6,1,1,-99,1
2,USA,AFRICAN-AMERICANS,BLA,201,1963,1,0,6,1,1,-99,2
2,USA,AFRICAN-AMERICANS,BLA,201,1964,1,0,6,1,1,-99,2
2,USA,AFRICAN-AMERICANS,BLA,201,1965,1,0,6,1,1,-99,3
2,USA,AFRICAN-AMERICANS,BLA,201,1966,1,0,6,1,1,-99,3
2,USA,AFRICAN-AMERICANS,BLA,201,1967,1,0,6,1,1,-99,3
2,USA,AFRICAN-AMERICANS,BLA,201,1968,1,0,6,1,1,-99,2
2,USA,AFRICAN-AMERICANS,BLA,201,1969,1,0,6,1,1,-99,2
2,USA,AFRICAN-AMERICANS,BLA,201,1970,1,0,6,1,1,-99,2
2,USA,AFRICAN-AMERICANS,BLA,201,1971,1,0,6,1,1,-99,2
2,USA,AFRICAN-AMERICANS,BLA,201,1972,1,0,6,1,1,-99,1
2,USA,AFRICAN-AMERICANS,BLA,201,1973,1,0,6,1,1,-99,1
2,USA,AFRICAN-AMERICANS,BLA,201,1974,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1975,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1976,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1977,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1978,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1979,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1980,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1981,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1982,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1983,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1984,1,0,6,1,1,-99,0
2,USA,AFRICAN-AMERICANS,BLA,201,1985,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1986,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1987,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1988,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1989,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1990,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1991,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1992,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1993,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1994,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1995,1,0,6,1,1,0,0
2,USA,AFRICAN-AMERICANS,BLA,201,1996,1,0,6,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1997,1,0,6,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1998,1,0,6,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,1999,1,0,6,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,2000,1,0,6,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,2001,-99,0,-99,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,2002,-99,0,-99,1,1,0,-99
2,USA,AFRICAN-AMERICANS,BLA,201,2003,-99,0,-99,1,1,0,-99
2,USA,HISPANICS,HIS,202,1940,1,2,10,1,0,-99,-99
2,USA,HISPANICS,HIS,202,1941,1,2,10,1,0,-99,-99
2,USA,HISPANICS,HIS,202,1942,1,2,10,1,0,-99,-99
2,USA,HISPANICS,HIS,202,1943,1,2,10,1,0,-99,-99
2,USA,HISPANICS,HIS,202,1944,1,2,10,1,0,-99,-99
2,USA,HISPANICS,HIS,202,1945,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1946,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1947,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1948,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1949,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1950,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1951,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1952,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1953,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1954,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1955,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1956,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1957,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1958,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1959,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1960,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1961,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1962,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1963,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1964,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1965,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1966,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1967,1,2,10,1,0,-99,0
2,USA,HISPANICS,HIS,202,1968,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1969,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1970,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1971,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1972,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1973,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1974,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1975,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1976,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1977,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1978,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1979,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1980,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1981,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1982,1,2,10,1,0,-99,1
2,USA,HISPANICS,HIS,202,1983,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1984,1,2,10,1,0,-99,2
2,USA,HISPANICS,HIS,202,1985,1,2,10,1,0,1,2
2,USA,HISPANICS,HIS,202,1986,1,2,10,1,0,2,2
2,USA,HISPANICS,HIS,202,1987,1,2,10,1,0,2,2
2,USA,HISPANICS,HIS,202,1988,1,2,10,1,0,1,1
2,USA,HISPANICS,HIS,202,1989,1,2,10,1,0,1,1
2,USA,HISPANICS,HIS,202,1990,1,2,10,1,0,1,1
2,USA,HISPANICS,HIS,202,1991,1,2,10,1,0,1,1
2,USA,HISPANICS,HIS,202,1992,1,2,10,1,0,1,1
2,USA,HISPANICS,HIS,202,1993,1,2,10,1,0,0,0
